author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender,topicality,max,count,median
Q1346691,1988-02-01T00:00:00Z,,Orphan of Creation,Roger MacBride Allen,Q60791951,1989,1,0,2,32.0,United States,male,0.5999494592230866,,,
Q1346691,1990-12-01T00:00:00Z,501136.0,The Ring of Charon,Roger MacBride Allen,Q3818561,1991,1,0,3,34.0,United States,male,0.3902726235959284,,,
Q134798,2005-01-01T00:00:00Z,6191072.0,Kafka on the Shore,Haruki Murakami,Q579744,2006,0,1,0,57.0,Japan,male,1.2746798638745687,16.0,1.0,16.0
Q1353673,1980-10-16T00:00:00Z,,Riddley Walker,Russell Hoban,Q7332458,1982,2,1,0,57.0,United States,male,0.6402071396559068,,,
Q13563022,2017-01-31T00:00:00Z,,Six Wakes,Mur Lafferty,Q54488341,2018,3,0,0,45.0,United States,female,-0.11324115098266718,,,
Q1363986,1987-08-01T00:00:00Z,,The Sea and Summer,George Turner,Q11931779,1988,2,0,0,72.0,Australia,male,-0.5793654388331939,,,
Q1363986,1991-05-01T00:00:00Z,,Brain Child,George Turner,Q131376575,1992,1,0,1,76.0,Australia,male,0.7171175215147646,,,
Q1363986,1994-07-01T00:00:00Z,,Genetic Soldier,George Turner,Q131376701,1995,1,0,3,79.0,Australia,male,-0.6509443556276154,,,
Q1364100,1962-01-01T00:00:00Z,,Little Fuzzy,H. Beam Piper,Q3233220,1963,1,0,0,59.0,United States,male,-0.553872457428861,,,
Q1367995,2014-05-27T00:00:00Z,23811929.0,Skin Game,Jim Butcher,Q17105829,2015,1,0,0,44.0,United States,male,0.1678495841106091,13.0,4.0,5.0
Q1367995,2015-09-29T00:00:00Z,24239884.0,The Aeronaut's Windlass,Jim Butcher,Q23763106,2016,1,0,1,45.0,United States,male,0.17664079205668878,16.0,2.0,10.5
Q1367996,2005-08-01T00:00:00Z,,Vellum,Hal Duncan,Q7919226,2006,1,0,0,35.0,United Kingdom,male,0.1457844136672798,,,
Q1371639,1977-01-01T00:00:00Z,,The Martian Inca,Ian Watson,Q122581069,1978,1,0,1,35.0,United Kingdom,male,0.34385987890573033,,,
Q1371639,1980-01-01T00:00:00Z,,The Gardens of Delight,Ian Watson,Q131374930,1981,1,0,5,38.0,United Kingdom,male,-0.777941406571893,,,
Q1371639,1981-10-01T00:00:00Z,,Deathhunter,Ian Watson,Q131375075,1982,1,0,7,39.0,United Kingdom,male,0.6306175285406571,,,
Q1371639,,,The Embedding,Ian Watson,Q3202927,1976,1,0,0,33.0,United Kingdom,male,0.570901688866706,,,
Q1379856,1980-07-01T00:00:00Z,,Molly Zero,Keith Roberts,Q104854337,1981,1,0,3,46.0,United Kingdom,male,-0.7667835451053593,,,
Q1379856,1985-06-01T00:00:00Z,,Kiteworld,Keith Roberts,Q20379672,1986,2,0,9,51.0,United Kingdom,male,0.7056428087520499,,,
Q138243,2007-06-12T00:00:00Z,,Ragamuffin,Tobias S. Buckell,Q16968168,2008,1,0,1,29.0,Grenada,male,-0.16113484903280798,,,
Q138243,2012-02-28T00:00:00Z,,Arctic Rising,Tobias S. Buckell,Q131382193,2013,1,0,3,34.0,Grenada,male,-0.14674746644509312,,,
Q1396763,1996-09-01T00:00:00Z,16050.0,The Golden Key,Jennifer Roberson,Q7737067,1997,1,0,0,44.0,United States,female,-0.572638219613625,,,
Q1398751,1977-07-01T00:00:00Z,542397.0,Midnight at the Well of Souls,Jack L. Chalker,Q6842848,1978,1,0,0,34.0,United States,male,0.33487270902437666,,,
Q1398751,1981-10-01T00:00:00Z,,Lilith: A Snake in the Grass,Jack L. Chalker,Q6547848,1982,1,0,1,38.0,United States,male,0.6276444738758867,,,
Q140201,1979-10-01T00:00:00Z,522529.0,The Unlimited Dream Company,J. G. Ballard,Q7771659,1980,2,0,0,50.0,Qing dynasty,male,0.32678262499692307,,,
Q140201,1979-10-01T00:00:00Z,522529.0,The Unlimited Dream Company,J. G. Ballard,Q7771659,1980,2,0,0,50.0,Republic of China,male,0.32678262499692307,,,
Q140201,1979-10-01T00:00:00Z,522529.0,The Unlimited Dream Company,J. G. Ballard,Q7771659,1980,2,0,0,50.0,People's Republic of China,male,0.32678262499692307,,,
Q1406489,1966-01-01T00:00:00Z,943744.0,The Witches of Karres,James H. Schmitz,Q3235592,1967,1,0,2,56.0,Germany,male,0.32281903350208896,,,
Q1434925,2011-07-01T00:00:00Z,,7th Sigma,Steven Gould,Q131382177,2012,1,0,7,57.0,United States,male,-0.18659306979067666,,,
Q144090,1966-06-01T00:00:00Z,,Skylark DuQuesne,Edward Elmer Smith,Q15033660,1966,1,0,0,76.0,United States,male,0.32559886348245237,,,
Q1443070,1979-02-01T00:00:00Z,2177257.0,Stardance,Spider Robinson,Q7601555,1980,1,0,4,32.0,United States,male,-0.19052936105003884,,,
Q1443070,1982-09-01T00:00:00Z,1419433.0,Mindkiller,Spider Robinson,Q6863847,1983,1,0,7,35.0,United States,male,0.4788381355427525,,,
Q1443787,1975-05-01T00:00:00Z,,Missing Man,Katherine MacLean,Q122452521,1976,1,0,1,51.0,United States,female,0.5537391654018256,,,
Q1444345,1986-10-01T00:00:00Z,2990780.0,Talking Man,Terry Bisson,Q7679827,1987,1,0,0,45.0,United States,male,-0.2935919635581826,,,
