wikipedia_url,work_qid
https://en.wikipedia.org/wiki/Free_Live_Free,Q5499909
https://en.wikipedia.org/wiki/Flesh_and_Fire,Q5458712
https://en.wikipedia.org/wiki/Golem100,Q5580438
https://en.wikipedia.org/wiki/From_the_Files_of_the_Time_Rangers,Q5505649
https://en.wikipedia.org/wiki/Heavy_Weather_(Sterling_novel),Q5695215
https://en.wikipedia.org/wiki/River_of_Gods,Q5482407
https://en.wikipedia.org/wiki/Feed_(Grant_novel),Q5441171
https://en.wikipedia.org/wiki/Gaia%27s_Toys,Q5516961
https://en.wikipedia.org/wiki/The_Other_Wind,Q717326
https://en.wikipedia.org/wiki/Mona_Lisa_Overdrive,Q663215
https://en.wikipedia.org/wiki/Last_Call_(novel),Q610680
https://en.wikipedia.org/wiki/Neuromancer,Q662029
https://en.wikipedia.org/wiki/The_Three-Body_Problem_(novel),Q607112
https://en.wikipedia.org/wiki/The_Dark_Forest,Q607276
https://en.wikipedia.org/wiki/Death%27s_End,Q607511
https://en.wikipedia.org/wiki/Amnesia_Moon,Q692102
https://en.wikipedia.org/wiki/The_Carpet_Makers,Q615035
https://en.wikipedia.org/wiki/The_Graveyard_Book,Q1168659
https://en.wikipedia.org/wiki/Doorways_in_the_Sand,Q664034
https://en.wikipedia.org/wiki/The_Yiddish_Policemen%27s_Union,Q603645
https://en.wikipedia.org/wiki/Gateway_(novel),Q651682
https://en.wikipedia.org/wiki/The_Scar_(novel),Q602216
https://en.wikipedia.org/wiki/Zoo_City,Q622647
https://en.wikipedia.org/wiki/Altered_Carbon,Q1170644
https://en.wikipedia.org/wiki/The_Book_of_Dreams_(Vance_novel),Q600821
https://en.wikipedia.org/wiki/It_(novel),Q602288
https://en.wikipedia.org/wiki/Do_Androids_Dream_of_Electric_Sheep%3F,Q605249
https://en.wikipedia.org/wiki/The_Warrior%27s_Apprentice,Q676256
https://en.wikipedia.org/wiki/Matter_(novel),Q684818
https://en.wikipedia.org/wiki/The_Hollow_Man_(Simmons_novel),Q1171420
https://en.wikipedia.org/wiki/Forever_Free_(novel),Q3210024
https://en.wikipedia.org/wiki/Moreta:_Dragonlady_of_Pern,Q3208081
https://en.wikipedia.org/wiki/City_of_Sorcery,Q3207474
https://en.wikipedia.org/wiki/The_Curse_of_Chalion,Q2665745
https://en.wikipedia.org/wiki/Have_Space_Suit%E2%80%94Will_Travel,Q1213656
https://en.wikipedia.org/wiki/The_Citadel_of_the_Autarch,Q3207442
https://en.wikipedia.org/wiki/The_Mote_in_God%27s_Eye,Q1190888
https://en.wikipedia.org/wiki/Endymion_(Simmons_novel),Q2656138
https://en.wikipedia.org/wiki/The_Summer_Queen,Q3212198
https://en.wikipedia.org/wiki/Babel-17,Q2722309
https://en.wikipedia.org/wiki/City_on_Fire_(Williams_novel),Q3209704
https://en.wikipedia.org/wiki/Ilium_(novel),Q2725656
"https://en.wikipedia.org/wiki/For_Us,_the_Living",Q2678988
https://en.wikipedia.org/wiki/The_Three_Stigmata_of_Palmer_Eldritch,Q1193211
https://en.wikipedia.org/wiki/The_Vampire_Lestat,Q1193680
https://en.wikipedia.org/wiki/To_Say_Nothing_of_the_Dog,Q2719299
https://en.wikipedia.org/wiki/Ship_of_Fools_(Russo_novel),Q3211069
https://en.wikipedia.org/wiki/Great_Sky_River_(novel),Q3209553
https://en.wikipedia.org/wiki/Falling_Free,Q2703898
https://en.wikipedia.org/wiki/Footfall,Q2652159
https://en.wikipedia.org/wiki/Glory_Season,Q3209843
https://en.wikipedia.org/wiki/The_Big_Time_(novel),Q3209683
https://en.wikipedia.org/wiki/The_Iron_Dream,Q1199660
https://en.wikipedia.org/wiki/The_Claw_of_the_Conciliator,Q3209610
https://en.wikipedia.org/wiki/The_Moon_and_the_Sun,Q3210153
https://en.wikipedia.org/wiki/The_Number_of_the_Beast_(novel),Q2703133
https://en.wikipedia.org/wiki/Night_Lamp,Q2672307
https://en.wikipedia.org/wiki/Parable_of_the_Talents_(novel),Q3211325
https://en.wikipedia.org/wiki/The_Divine_Invasion,Q1189364
https://en.wikipedia.org/wiki/The_Telling,Q2623688
https://en.wikipedia.org/wiki/A_Scanner_Darkly,Q1198489
https://en.wikipedia.org/wiki/The_Affirmation,Q3209114
https://en.wikipedia.org/wiki/The_Separation_(Priest_novel),Q3213011
https://en.wikipedia.org/wiki/Wizard_(novel),Q3491166
https://en.wikipedia.org/wiki/Stations_of_the_Tide,Q3497490
https://en.wikipedia.org/wiki/The_Sailor_on_the_Seas_of_Fate,Q3224982
https://en.wikipedia.org/wiki/Soldier_of_the_Mist,Q3489256
https://en.wikipedia.org/wiki/Remnant_Population,Q3212608
https://en.wikipedia.org/wiki/Past_Master_(novel),Q3224465
https://en.wikipedia.org/wiki/Shadrach_in_the_Furnace,Q3481184
https://en.wikipedia.org/wiki/Red_Prophet,Q3226029
https://en.wikipedia.org/wiki/Lord_Valentine%27s_Castle,Q3221363
https://en.wikipedia.org/wiki/The_Glamour_(novel),Q3223113
https://en.wikipedia.org/wiki/Queen_of_Angels_(novel),Q3212201
https://en.wikipedia.org/wiki/The_Ghost_from_the_Grand_Banks,Q3222682
https://en.wikipedia.org/wiki/The_Wanderer_(Leiber_novel),Q3227984
https://en.wikipedia.org/wiki/The_Cat_Who_Walks_Through_Walls,Q3221113
https://en.wikipedia.org/wiki/The_Calcutta_Chromosome,Q3221351
https://en.wikipedia.org/wiki/Holy_Fire_(novel),Q3222749
https://en.wikipedia.org/wiki/The_Urth_of_the_New_Sun,Q3225052
https://en.wikipedia.org/wiki/The_Squares_of_the_City,Q3214259
https://en.wikipedia.org/wiki/The_Ophiuchi_Hotline,Q3220787
https://en.wikipedia.org/wiki/The_Golden_Globe,Q3227494
https://en.wikipedia.org/wiki/Dark_Universe_(novel),Q3224655
https://en.wikipedia.org/wiki/The_People_of_the_Wind,Q3225561
https://en.wikipedia.org/wiki/Antarctica_(novel),Q3459064
https://en.wikipedia.org/wiki/The_White_Dragon_(novel),Q3222431
https://en.wikipedia.org/wiki/Ashes_of_Victory,Q3231336
https://en.wikipedia.org/wiki/On_Wings_of_Song_(novel),Q3505071
https://en.wikipedia.org/wiki/The_Sparrow_(novel),Q3224638
https://en.wikipedia.org/wiki/The_Forbidden_Tower,Q3213211
https://en.wikipedia.org/wiki/Two_to_Conquer,Q3224088
https://en.wikipedia.org/wiki/The_Naked_God,Q3222317
https://en.wikipedia.org/wiki/Marrow_(novel),Q3223347
https://en.wikipedia.org/wiki/The_Sheep_Look_Up,Q3227879
https://en.wikipedia.org/wiki/West_of_Eden,Q3497225
https://en.wikipedia.org/wiki/The_Face_(Vance_novel),Q3228178
https://en.wikipedia.org/wiki/The_City_%26_the_City,Q3520291
https://en.wikipedia.org/wiki/Thorns_(novel),Q3548730
https://en.wikipedia.org/wiki/Too_Many_Magicians,Q3535592
https://en.wikipedia.org/wiki/The_Healer%27s_War,Q3521228
https://en.wikipedia.org/wiki/The_Integral_Trees,Q3521397
https://en.wikipedia.org/wiki/Thomas_the_Rhymer_(novel),Q3525731
https://en.wikipedia.org/wiki/They%27d_Rather_Be_Right,Q3523959
https://en.wikipedia.org/wiki/Earth_(Brin_novel),Q3518604
https://en.wikipedia.org/wiki/All_the_Weyrs_of_Pern,Q3535595
https://en.wikipedia.org/wiki/The_Prefect,Q3522305
https://en.wikipedia.org/wiki/The_Sword_of_Aldones,Q3522940
https://en.wikipedia.org/wiki/The_Robots_of_Dawn,Q440784
https://en.wikipedia.org/wiki/The_Talisman_(King_and_Straub_novel),Q462454
https://en.wikipedia.org/wiki/Way_Station_(novel),Q427110
https://en.wikipedia.org/wiki/A_Storm_of_Swords,Q431927
https://en.wikipedia.org/wiki/American_Gods,Q430514
https://en.wikipedia.org/wiki/God_Emperor_of_Dune,Q401619
https://en.wikipedia.org/wiki/Heretics_of_Dune,Q437353
