author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender
Q131351002,2023-08-08T00:00:00Z,,Prophet,Sin Blaché,Q131382920,2024,1,0,0,,,female
Q131351062,2018-01-23T00:00:00Z,,The Sky Is Yours,Chandler Klang Smith,Q131382756,2019,1,0,0,35.0,United States,female
Q131437170,2010-12-01T00:00:00Z,,Yarn,Jon Armstrong,Q131382149,2011,2,0,1,,United States,male
Q1346126,1980-07-01T00:00:00Z,,City Come A-Walkin',John Shirley,Q20084641,1981,1,0,0,28.0,United States,male
Q1346691,1988-02-01T00:00:00Z,,Orphan of Creation,Roger MacBride Allen,Q60791951,1989,1,0,2,32.0,United States,male
Q1346691,1990-12-01T00:00:00Z,501136.0,The Ring of Charon,Roger MacBride Allen,Q3818561,1991,1,0,3,34.0,United States,male
Q134798,2005-01-01T00:00:00Z,6191072.0,Kafka on the Shore,Haruki Murakami,Q579744,2006,0,1,0,57.0,Japan,male
Q1353673,1980-10-16T00:00:00Z,,Riddley Walker,Russell Hoban,Q7332458,1982,2,1,1,57.0,United States,male
Q13563022,2017-01-31T00:00:00Z,,Six Wakes,Mur Lafferty,Q54488341,2018,3,0,1,45.0,United States,female
Q13563168,2020-07-21T00:00:00Z,,Trouble the Saints,Alaya Dawn Johnson,Q117389230,2021,0,1,2,39.0,United States,female
Q1363986,1987-08-01T00:00:00Z,,The Sea and Summer,George Turner,Q11931779,1988,2,0,0,72.0,Australia,male
Q1363986,1991-05-01T00:00:00Z,,Brain Child,George Turner,Q131376575,1992,1,0,1,76.0,Australia,male
Q1363986,1994-07-01T00:00:00Z,,Genetic Soldier,George Turner,Q131376701,1995,1,0,3,79.0,Australia,male
Q1364100,1962-01-01T00:00:00Z,,Little Fuzzy,H. Beam Piper,Q3233220,1963,1,0,0,59.0,United States,male
Q1367995,2014-05-27T00:00:00Z,23811929.0,Skin Game,Jim Butcher,Q17105829,2015,1,0,0,44.0,United States,male
Q1367995,2015-09-29T00:00:00Z,24239884.0,The Aeronaut's Windlass,Jim Butcher,Q23763106,2016,1,0,1,45.0,United States,male
Q1367996,2005-08-01T00:00:00Z,,Vellum,Hal Duncan,Q7919226,2006,1,0,0,35.0,United Kingdom,male
Q1371639,1977-01-01T00:00:00Z,,The Martian Inca,Ian Watson,Q122581069,1978,1,0,1,35.0,United Kingdom,male
Q1371639,1980-01-01T00:00:00Z,,The Gardens of Delight,Ian Watson,Q131374930,1981,1,0,5,38.0,United Kingdom,male
Q1371639,1981-10-01T00:00:00Z,,Deathhunter,Ian Watson,Q131375075,1982,1,0,7,39.0,United Kingdom,male
Q1371639,,,The Embedding,Ian Watson,Q3202927,1975,1,0,0,32.0,United Kingdom,male
Q1379856,1980-07-01T00:00:00Z,,Molly Zero,Keith Roberts,Q104854337,1981,1,0,2,46.0,United Kingdom,male
Q1379856,1985-06-01T00:00:00Z,,Kiteworld,Keith Roberts,Q20379672,1986,2,0,8,51.0,United Kingdom,male
Q138243,2007-06-12T00:00:00Z,,Ragamuffin,Tobias S. Buckell,Q16968168,2007,1,0,0,28.0,Grenada,male
Q138243,2012-02-28T00:00:00Z,,Arctic Rising,Tobias S. Buckell,Q131382193,2013,1,0,3,34.0,Grenada,male
Q138243,2021-05-27T00:00:00Z,,A Stranger in the Citadel,Tobias S. Buckell,Q131382902,2024,1,0,11,45.0,Grenada,male
Q1396763,1996-09-01T00:00:00Z,16050.0,The Golden Key,Jennifer Roberson,Q7737067,1997,1,0,0,44.0,United States,female
Q1398751,1977-07-01T00:00:00Z,542397.0,Midnight at the Well of Souls,Jack L. Chalker,Q6842848,1978,1,0,0,34.0,United States,male
Q1398751,1981-10-01T00:00:00Z,,Lilith: A Snake in the Grass,Jack L. Chalker,Q6547848,1982,1,0,1,38.0,United States,male
Q140201,1979-10-01T00:00:00Z,522529.0,The Unlimited Dream Company,J. G. Ballard,Q7771659,1980,2,0,0,50.0,Qing dynasty,male
Q140201,1979-10-01T00:00:00Z,522529.0,The Unlimited Dream Company,J. G. Ballard,Q7771659,1980,2,0,0,50.0,Republic of China,male
Q140201,1979-10-01T00:00:00Z,522529.0,The Unlimited Dream Company,J. G. Ballard,Q7771659,1980,2,0,0,50.0,People's Republic of China,male
Q1406489,1966-01-01T00:00:00Z,943744.0,The Witches of Karres,James H. Schmitz,Q3235592,1967,1,0,1,56.0,Germany,male
Q1434925,2011-07-01T00:00:00Z,,7th Sigma,Steven Gould,Q131382177,2012,1,0,7,57.0,United States,male
Q144090,1966-06-01T00:00:00Z,,Skylark DuQuesne,Edward Elmer Smith,Q15033660,1966,1,0,0,76.0,United States,male
Q1443070,1979-02-01T00:00:00Z,2177257.0,Stardance,Spider Robinson,Q7601555,1980,1,0,4,32.0,United States,male
Q1443070,1982-09-01T00:00:00Z,1419433.0,Mindkiller,Spider Robinson,Q6863847,1983,1,0,7,35.0,United States,male
Q1443787,1975-05-01T00:00:00Z,,Missing Man,Katherine MacLean,Q122452521,1975,1,0,1,50.0,United States,female
Q1444345,1986-10-01T00:00:00Z,2990780.0,Talking Man,Terry Bisson,Q7679827,1987,1,0,0,45.0,United States,male
Q1444345,1988-07-01T00:00:00Z,,Fire on the Mountain,Terry Bisson,Q5451628,1989,1,0,1,47.0,United States,male
Q1444345,1990-07-01T00:00:00Z,,Voyage to the Red Planet,Terry Bisson,Q131376397,1991,1,0,2,49.0,United States,male
Q1444345,1996-04-01T00:00:00Z,,Pirates of the Universe,Terry Bisson,Q131376754,1997,1,0,17,55.0,United States,male
Q1444345,1997-09-01T00:00:00Z,250974.0,Saint Leibowitz and the Wild Horse Woman,Terry Bisson,Q3203920,1998,1,0,20,56.0,United States,male
Q1444345,2001-04-01T00:00:00Z,,The Pickup Artist,Terry Bisson,Q131381208,2002,1,0,29,60.0,United States,male
Q1444345,2012-03-01T00:00:00Z,,Any Day Now,Terry Bisson,Q131382201,2013,2,0,41,71.0,United States,male
Q14949582,2010-06-01T00:00:00Z,,Redemption in Indigo,Karen Lord,Q125817770,2011,1,0,0,43.0,Barbados,female
Q14949582,2013-01-31T00:00:00Z,,The Best of All Possible Worlds,Karen Lord,Q131382237,2014,1,0,1,46.0,Barbados,female
